,timestamp,action,direction,price,size,stop_loss,take_profit,prob_1h,balance
0,2024-12-07 18:37:32.029199,ENTRY,ALTA,99855.45,0.0,99356.17275,100854.0045,0.7835618509758798,1000.0
0,2024-12-07 18:44:08.099329,ENTRY,ALTA,99742.21,0.02005169125488597,99243.49895000001,100739.6321,0.7273290418483375,1000.0
